Character;Sentence;Sentence_tokenized;Sentence_lemmatized;Sentence_cleared
Hagrid;If not... Well, we'll get to that later.;['if', 'not', 'well', 'we', 'get', 'to', 'that', 'later'];['if', 'not', 'well', 'we', 'get', 'to', 'that', 'later'];['well', 'later']
Hagrid;Just make your bow.;['just', 'make', 'your', 'bow'];['just', 'make', 'your', 'bow'];['make', 'bow']
Hagrid;Nice and low.;['nice', 'and', 'low'];['nice', 'and', 'low'];['nice', 'low']
Hagrid;Back off, Harry. Back off.;['back', 'off', 'harry', 'back', 'off'];['back', 'off', 'harry', 'back', 'off'];['back', 'harry', 'back']
Hagrid;Keep still. Keep still.;['keep', 'still', 'keep', 'still'];['keep', 'still', 'keep', 'still'];['keep', 'still', 'keep', 'still']
Hagrid;Well done, Harry. Well done.;['well', 'done', 'harry', 'well', 'done'];['well', 'done', 'harry', 'well', 'done'];['well', 'done', 'harry', 'well', 'done']
Hagrid;Here, you big brute, you.;['here', 'you', 'big', 'brute', 'you'];['here', 'you', 'big', 'brute', 'you'];['big', 'brute']
Hagrid;Right. I think you can go and pat him now.;['right', 'i', 'think', 'you', 'can', 'go', 'and', 'pat', 'him', 'now'];['right', 'i', 'think', 'you', 'can', 'go', 'and', 'pat', 'him', 'now'];['right', 'think', 'pat']
Hagrid;Go on. Don't be shy.;['go', 'on', 'do', 'be', 'shy'];['go', 'on', 'do', 'be', 'shy'];['shy']
Hagrid;Nice and slow, now.;['nice', 'and', 'slow', 'now'];['nice', 'and', 'slow', 'now'];['nice', 'slow']
Hagrid;Nice and slow. Slow.;['nice', 'and', 'slow', 'slow'];['nice', 'and', 'slow', 'slow'];['nice', 'slow', 'slow']
Hagrid;Not so fast, Harry.;['not', 'so', 'fast', 'harry'];['not', 'so', 'fast', 'harry'];['fast', 'harry']
Hagrid;Slow down, Harry. That's it...;['slow', 'down', 'harry', 'that', 'it'];['slow', 'down', 'harry', 'that', 'it'];['slow', 'harry']
Hagrid;Nice and slow.;['nice', 'and', 'slow'];['nice', 'and', 'slow'];['nice', 'slow']
Hagrid;Now let him come to you.;['now', 'let', 'him', 'come', 'to', 'you'];['now', 'let', 'him', 'come', 'to', 'you'];['let']
Hagrid;Slowly, now, slowly, slowly...;['slowly', 'now', 'slowly', 'slowly'];['slowly', 'now', 'slowly', 'slowly'];['slowly', 'slowly', 'slowly']
Hagrid;That's it Yes!;['that', 'it', 'yes'];['that', 'it', 'yes'];[]
Hagrid;Well done! Well done, Harry,;['well', 'done', 'well', 'done', 'harry'];['well', 'done', 'well', 'done', 'harry'];['well', 'done', 'well', 'done', 'harry']
Hagrid;well done!;['well', 'done'];['well', 'done'];['well', 'done']
Bem;Does he get to fly?;['does', 'he', 'get', 'to', 'fly'];['doe', 'he', 'get', 'to', 'fly'];['doe', 'fly']
Hagrid;I think he may let you ride him now.;['i', 'think', 'he', 'may', 'let', 'you', 'ride', 'him', 'now'];['i', 'think', 'he', 'may', 'let', 'you', 'ride', 'him', 'now'];['think', 'may', 'let', 'ride']
Harry;What?;['what'];['what'];[]
Hagrid;Come on.;['come', 'on'];['come', 'on'];[]
Harry;Hey, hey, hey!;['hey', 'hey', 'hey'];['hey', 'hey', 'hey'];['hey', 'hey', 'hey']
Hagrid;Put you over here, just behind the wing joint. ;['put', 'you', 'over', 'here', 'just', 'behind', 'the', 'wing', 'joint'];['put', 'you', 'over', 'here', 'just', 'behind', 'the', 'wing', 'joint'];['put', 'behind', 'wing', 'joint']
Hagrid;Don't pull out any of his feathers, because he won't thank you for that.;['do', 'pull', 'out', 'any', 'of', 'his', 'feathers', 'because', 'he', 'wo', 'thank', 'you', 'for', 'that'];['do', 'pull', 'out', 'any', 'of', 'his', 'feather', 'because', 'he', 'wo', 'thank', 'you', 'for', 'that'];['pull', 'feather', 'wo', 'thank']
Hagrid;Well done, Harry, and well done, Buckbeak.;['well', 'done', 'harry', 'and', 'well', 'done', 'buckbeak'];['well', 'done', 'harry', 'and', 'well', 'done', 'buckbeak'];['well', 'done', 'harry', 'well', 'done', 'buckbeak']
Hermione;That was wicked, Harry!;['that', 'was', 'wicked', 'harry'];['that', 'wa', 'wicked', 'harry'];['wicked', 'harry']
Draco;Oh, please.;['oh', 'please'];['oh', 'please'];['oh', 'please']
Hagrid;Well done, well done.;['well', 'done', 'well', 'done'];['well', 'done', 'well', 'done'];['well', 'done', 'well', 'done']
Hagrid;How am I doing me first day?;['how', 'am', 'i', 'doing', 'me', 'first', 'day'];['how', 'am', 'i', 'doing', 'me', 'first', 'day'];['first', 'day']
Harry;Brilliant, professor.;['brilliant', 'professor'];['brilliant', 'professor'];['brilliant', 'professor']
Draco;You're not dangerous at all, are you, you great ugly brute!;['you', 'not', 'dangerous', 'at', 'all', 'are', 'you', 'you', 'great', 'ugly', 'brute'];['you', 'not', 'dangerous', 'at', 'all', 'are', 'you', 'you', 'great', 'ugly', 'brute'];['dangerous', 'great', 'ugly', 'brute']
Hagrid;Malfoy, no...;['malfoy', 'no'];['malfoy', 'no'];['malfoy']
Hagrid;No!;['no'];['no'];[]
Hagrid;Buckbeak!;['buckbeak'];['buckbeak'];['buckbeak']
Hagrid;Whoa, whoa, whoa...;['whoa', 'whoa', 'whoa'];['whoa', 'whoa', 'whoa'];['whoa', 'whoa', 'whoa']
Hagrid;Whoa! Buckbeak!;['whoa', 'buckbeak'];['whoa', 'buckbeak'];['whoa', 'buckbeak']
Hagrid;Away, you silly creature...;['away', 'you', 'silly', 'creature'];['away', 'you', 'silly', 'creature'];['away', 'silly', 'creature']
Draco;It's killed me!;['it', 'killed', 'me'];['it', 'killed', 'me'];['killed']
Hagrid;Calm down. It's just a scratch!;['calm', 'down', 'it', 'just', 'a', 'scratch'];['calm', 'down', 'it', 'just', 'a', 'scratch'];['calm', 'scratch']
Hermione;Hagrid! He has to be taken to the hospital.;['hagrid', 'he', 'has', 'to', 'be', 'taken', 'to', 'the', 'hospital'];['hagrid', 'he', 'ha', 'to', 'be', 'taken', 'to', 'the', 'hospital'];['hagrid', 'taken', 'hospital']
Hagrid;I'm the teacher. I'll do it.;['i', 'the', 'teacher', 'i', 'do', 'it'];['i', 'the', 'teacher', 'i', 'do', 'it'];['teacher']
Draco;You're gonna regret this.;['you', 'gon', 'na', 'regret', 'this'];['you', 'gon', 'na', 'regret', 'this'];['gon', 'na', 'regret']
Hagrid;Class dismissed!;['class', 'dismissed'];['class', 'dismissed'];['class', 'dismissed']
Draco;You and your bloody chicken!;['you', 'and', 'your', 'bloody', 'chicken'];['you', 'and', 'your', 'bloody', 'chicken'];['bloody', 'chicken']
Pansy Parkinson;Does it hurt terribly, Draco?;['does', 'it', 'hurt', 'terribly', 'draco'];['doe', 'it', 'hurt', 'terribly', 'draco'];['doe', 'hurt', 'terribly', 'draco']
Draco;It comes and it goes.;['it', 'comes', 'and', 'it', 'goes'];['it', 'come', 'and', 'it', 'go'];[]
Draco;Still, I consider myself lucky.;['still', 'i', 'consider', 'myself', 'lucky'];['still', 'i', 'consider', 'myself', 'lucky'];['still', 'consider', 'lucky']
Draco;Madam Pomfrey said another minute and I could've lost my arm.;['madam', 'pomfrey', 'said', 'another', 'minute', 'and', 'i', 'could', 'lost', 'my', 'arm'];['madam', 'pomfrey', 'said', 'another', 'minute', 'and', 'i', 'could', 'lost', 'my', 'arm'];['madam', 'pomfrey', 'said', 'another', 'minute', 'could', 'lost', 'arm']
Draco;I can't do homework for weeks.;['i', 'ca', 'do', 'homework', 'for', 'weeks'];['i', 'ca', 'do', 'homework', 'for', 'week'];['ca', 'homework', 'week']
Ron;Listen to the idiot.;['listen', 'to', 'the', 'idiot'];['listen', 'to', 'the', 'idiot'];['listen', 'idiot']
Ron;He's really laying it on thick, isn't he?;['he', 'really', 'laying', 'it', 'on', 'thick', 'is', 'he'];['he', 'really', 'laying', 'it', 'on', 'thick', 'is', 'he'];['really', 'laying', 'thick']
Harry;At least Hagrid didn't get fired.;['at', 'least', 'hagrid', 'did', 'get', 'fired'];['at', 'least', 'hagrid', 'did', 'get', 'fired'];['least', 'hagrid', 'fired']
Hermione;I hear Draco's father's furious.;['i', 'hear', 'draco', 'father', 'furious'];['i', 'hear', 'draco', 'father', 'furious'];['hear', 'draco', 'father', 'furious']
Hermione;We haven't heard the end of this.;['we', 'have', 'heard', 'the', 'end', 'of', 'this'];['we', 'have', 'heard', 'the', 'end', 'of', 'this'];['heard', 'end']
Seamus;He's been sighted!;['he', 'been', 'sighted'];['he', 'been', 'sighted'];['sighted']
Ron;Who?;['who'];['who'];[]
Seamus;Sirius Black!;['sirius', 'black'];['sirius', 'black'];['sirius', 'black']
Hermione;Dufftown? That's not far from here.;['dufftown', 'that', 'not', 'far', 'from', 'here'];['dufftown', 'that', 'not', 'far', 'from', 'here'];['dufftown', 'far']
Neville;You don't think he'd come to Hogwarts, do you?;['you', 'do', 'think', 'he', 'come', 'to', 'hogwarts', 'do', 'you'];['you', 'do', 'think', 'he', 'come', 'to', 'hogwarts', 'do', 'you'];['think', 'hogwarts']
Boy;With dementors at every entrance?;['with', 'dementors', 'at', 'every', 'entrance'];['with', 'dementors', 'at', 'every', 'entrance'];['dementors', 'every', 'entrance']
Seamus;Dementors?;['dementors'];['dementors'];['dementors']
Seamus;He slipped past them once.;['he', 'slipped', 'past', 'them', 'once'];['he', 'slipped', 'past', 'them', 'once'];['slipped', 'past']
Seamus;Who's to say he won't do it again?;['who', 'to', 'say', 'he', 'wo', 'do', 'it', 'again'];['who', 'to', 'say', 'he', 'wo', 'do', 'it', 'again'];['say', 'wo']
Bem;That's right. Black could be anywhere.;['that', 'right', 'black', 'could', 'be', 'anywhere'];['that', 'right', 'black', 'could', 'be', 'anywhere'];['right', 'black', 'could', 'anywhere']
Bem;It's like trying to catch smoke.;['it', 'like', 'trying', 'to', 'catch', 'smoke'];['it', 'like', 'trying', 'to', 'catch', 'smoke'];['like', 'trying', 'catch', 'smoke']
Bem;Like trying to catch smoke with your bare hands.;['like', 'trying', 'to', 'catch', 'smoke', 'with', 'your', 'bare', 'hands'];['like', 'trying', 'to', 'catch', 'smoke', 'with', 'your', 'bare', 'hand'];['like', 'trying', 'catch', 'smoke', 'bare', 'hand']
Lupin;Intriguing, isn't it?;['intriguing', 'is', 'it'];['intriguing', 'is', 'it'];['intriguing']
Lupin;Would anyone like to venture a guess as to what is inside?;['would', 'anyone', 'like', 'to', 'venture', 'a', 'guess', 'as', 'to', 'what', 'is', 'inside'];['would', 'anyone', 'like', 'to', 'venture', 'a', 'guess', 'a', 'to', 'what', 'is', 'inside'];['would', 'anyone', 'like', 'venture', 'guess', 'inside']
Dean;That's a boggart, that is.;['that', 'a', 'boggart', 'that', 'is'];['that', 'a', 'boggart', 'that', 'is'];['boggart']
Lupin;Very good, Mr. Thomas.;['very', 'good', 'thomas'];['very', 'good', 'thomas'];['good', 'thomas']
Lupin;Now, can anybody tell me what a boggart looks like?;['now', 'can', 'anybody', 'tell', 'me', 'what', 'a', 'boggart', 'looks', 'like'];['now', 'can', 'anybody', 'tell', 'me', 'what', 'a', 'boggart', 'look', 'like'];['anybody', 'tell', 'boggart', 'look', 'like']
Hermione;No one knows.;['no', 'one', 'knows'];['no', 'one', 'know'];['one']
Ron;When did she get here?;['when', 'did', 'she', 'get', 'here'];['when', 'did', 'she', 'get', 'here'];[]
Hermione;Boggarts are shape-shifters.;['boggarts', 'are'];['boggarts', 'are'];['boggarts']
Hermione;They take the shape of whatever a person fears the most.;['they', 'take', 'the', 'shape', 'of', 'whatever', 'a', 'person', 'fears', 'the', 'most'];['they', 'take', 'the', 'shape', 'of', 'whatever', 'a', 'person', 'fear', 'the', 'most'];['take', 'shape', 'whatever', 'person', 'fear']
Hermione;That's what makes them so...;['that', 'what', 'makes', 'them', 'so'];['that', 'what', 'make', 'them', 'so'];['make']
Lupin;So terrifying, yes, yes, yes...;['so', 'terrifying', 'yes', 'yes', 'yes'];['so', 'terrifying', 'yes', 'yes', 'yes'];['terrifying']
Lupin;Luckily, a very simple charm exists to repel a boggart.;['luckily', 'a', 'very', 'simple', 'charm', 'exists', 'to', 'repel', 'a', 'boggart'];['luckily', 'a', 'very', 'simple', 'charm', 'exists', 'to', 'repel', 'a', 'boggart'];['luckily', 'simple', 'charm', 'exists', 'repel', 'boggart']
Lupin;Let's practice it now.;['let', 'practice', 'it', 'now'];['let', 'practice', 'it', 'now'];['let', 'practice']
Lupin;Without wands, please.;['without', 'wands', 'please'];['without', 'wand', 'please'];['without', 'wand', 'please']
Lupin;After me. Riddikulus!;['after', 'me', 'riddikulus'];['after', 'me', 'riddikulus'];['riddikulus']
Class;Riddikulus!;['riddikulus'];['riddikulus'];['riddikulus']
Lupin;Very good.;['very', 'good'];['very', 'good'];['good']
Lupin;A little louder and very clear.;['a', 'little', 'louder', 'and', 'very', 'clear'];['a', 'little', 'louder', 'and', 'very', 'clear'];['little', 'louder', 'clear']
Lupin;Listen: Riddikulus!;['listen', 'riddikulus'];['listen', 'riddikulus'];['listen', 'riddikulus']
Class;Riddikulus!;['riddikulus'];['riddikulus'];['riddikulus']
Draco;This class is ridiculous.;['this', 'class', 'is', 'ridiculous'];['this', 'class', 'is', 'ridiculous'];['class', 'ridiculous']
Lupin;Very good.;['very', 'good'];['very', 'good'];['good']
Lupin;So much for the easy part. ;['so', 'much', 'for', 'the', 'easy', 'part'];['so', 'much', 'for', 'the', 'easy', 'part'];['much', 'easy', 'part']
Lupin;You see, the incantation alone is not enough.;['you', 'see', 'the', 'incantation', 'alone', 'is', 'not', 'enough'];['you', 'see', 'the', 'incantation', 'alone', 'is', 'not', 'enough'];['incantation', 'alone', 'enough']
Lupin;What really finishes a boggart is laughter.;['what', 'really', 'finishes', 'a', 'boggart', 'is', 'laughter'];['what', 'really', 'finish', 'a', 'boggart', 'is', 'laughter'];['really', 'finish', 'boggart', 'laughter']
Lupin;You need to force it to assume a shape you find truly amusing. ;['you', 'need', 'to', 'force', 'it', 'to', 'assume', 'a', 'shape', 'you', 'find', 'truly', 'amusing'];['you', 'need', 'to', 'force', 'it', 'to', 'assume', 'a', 'shape', 'you', 'find', 'truly', 'amusing'];['need', 'force', 'assume', 'shape', 'find', 'truly', 'amusing']
Lupin;Let me explain. Neville, would you join me, please?;['let', 'me', 'explain', 'neville', 'would', 'you', 'join', 'me', 'please'];['let', 'me', 'explain', 'neville', 'would', 'you', 'join', 'me', 'please'];['let', 'explain', 'neville', 'would', 'join', 'please']
Lupin;Come on, don't be shy. Come on.;['come', 'on', 'do', 'be', 'shy', 'come', 'on'];['come', 'on', 'do', 'be', 'shy', 'come', 'on'];['shy']
Lupin;Come on.;['come', 'on'];['come', 'on'];[]
Lupin;Hello. Neville, what frightens you most of all?;['hello', 'neville', 'what', 'frightens', 'you', 'most', 'of', 'all'];['hello', 'neville', 'what', 'frightens', 'you', 'most', 'of', 'all'];['hello', 'neville', 'frightens']
Neville;Professor Snape.;['professor', 'snape'];['professor', 'snape'];['professor', 'snape']
Lupin;Sorry?;['sorry'];['sorry'];['sorry']
Neville;Professor Snape.;['professor', 'snape'];['professor', 'snape'];['professor', 'snape']
Lupin;Professor Snape. Yes, frightens all.;['professor', 'snape', 'yes', 'frightens', 'all'];['professor', 'snape', 'yes', 'frightens', 'all'];['professor', 'snape', 'frightens']
Lupin;You live with your grandmother.;['you', 'live', 'with', 'your', 'grandmother'];['you', 'live', 'with', 'your', 'grandmother'];['live', 'grandmother']
Neville;Yes. I don't want it to turn into her, either.;['yes', 'i', 'do', 'want', 'it', 'to', 'turn', 'into', 'her', 'either'];['yes', 'i', 'do', 'want', 'it', 'to', 'turn', 'into', 'her', 'either'];['want', 'turn', 'either']
Lupin;No it won't. I want you to picture her clothes.;['no', 'it', 'wo', 'i', 'want', 'you', 'to', 'picture', 'her', 'clothes'];['no', 'it', 'wo', 'i', 'want', 'you', 'to', 'picture', 'her', 'clothes'];['wo', 'want', 'picture', 'clothes']
Lupin;Only her clothes, very clearly, in your mind.;['only', 'her', 'clothes', 'very', 'clearly', 'in', 'your', 'mind'];['only', 'her', 'clothes', 'very', 'clearly', 'in', 'your', 'mind'];['clothes', 'clearly', 'mind']
Neville;She carries a red handbag...;['she', 'carries', 'a', 'red', 'handbag'];['she', 'carry', 'a', 'red', 'handbag'];['carry', 'red', 'handbag']
Lupin;We don't need to hear.;['we', 'do', 'need', 'to', 'hear'];['we', 'do', 'need', 'to', 'hear'];['need', 'hear']
Lupin;As long as you see it, we'll see it.;['as', 'long', 'as', 'you', 'see', 'it', 'we', 'see', 'it'];['a', 'long', 'a', 'you', 'see', 'it', 'we', 'see', 'it'];['long']
Lupin;Now, when I open that wardrobe here's what I want you to do. Excuse me.;['now', 'when', 'i', 'open', 'that', 'wardrobe', 'here', 'what', 'i', 'want', 'you', 'to', 'do', 'excuse', 'me'];['now', 'when', 'i', 'open', 'that', 'wardrobe', 'here', 'what', 'i', 'want', 'you', 'to', 'do', 'excuse', 'me'];['open', 'wardrobe', 'want', 'excuse']
Lupin;Imagine Professor Snape in your grandmother's clothes.;['imagine', 'professor', 'snape', 'in', 'your', 'grandmother', 'clothes'];['imagine', 'professor', 'snape', 'in', 'your', 'grandmother', 'clothes'];['imagine', 'professor', 'snape', 'grandmother', 'clothes']
Lupin;Can you do that?;['can', 'you', 'do', 'that'];['can', 'you', 'do', 'that'];[]
Lupin;Yes. Wand at the ready.;['yes', 'wand', 'at', 'the', 'ready'];['yes', 'wand', 'at', 'the', 'ready'];['wand', 'ready']
Lupin;One, two, three.;['one', 'two', 'three'];['one', 'two', 'three'];['one', 'two', 'three']
Lupin;Think, Neville, think.;['think', 'neville', 'think'];['think', 'neville', 'think'];['think', 'neville', 'think']
Neville;Riddikulus!;['riddikulus'];['riddikulus'];['riddikulus']
Lupin;Wonderful, Neville, wonderful!;['wonderful', 'neville', 'wonderful'];['wonderful', 'neville', 'wonderful'];['wonderful', 'neville', 'wonderful']
Lupin;Incredible! Okay to the back, Neville.;['incredible', 'okay', 'to', 'the', 'back', 'neville'];['incredible', 'okay', 'to', 'the', 'back', 'neville'];['incredible', 'okay', 'back', 'neville']
Lupin;Everyone, form a line...;['everyone', 'form', 'a', 'line'];['everyone', 'form', 'a', 'line'];['everyone', 'form', 'line']
Lupin;Form a line!;['form', 'a', 'line'];['form', 'a', 'line'];['form', 'line']
Lupin;I want everyone to picture the thing they fear the very most and turn it into something funny.;['i', 'want', 'everyone', 'to', 'picture', 'the', 'thing', 'they', 'fear', 'the', 'very', 'most', 'and', 'turn', 'it', 'into', 'something', 'funny'];['i', 'want', 'everyone', 'to', 'picture', 'the', 'thing', 'they', 'fear', 'the', 'very', 'most', 'and', 'turn', 'it', 'into', 'something', 'funny'];['want', 'everyone', 'picture', 'thing', 'fear', 'turn', 'something', 'funny']
Lupin;Next! Ron!;['next', 'ron'];['next', 'ron'];['next', 'ron']
Lupin;Concentrate. Face your fear.;['concentrate', 'face', 'your', 'fear'];['concentrate', 'face', 'your', 'fear'];['concentrate', 'face', 'fear']
Lupin;Be brave!;['be', 'brave'];['be', 'brave'];['brave']
Lupin;Wand at the ready, Ron.;['wand', 'at', 'the', 'ready', 'ron'];['wand', 'at', 'the', 'ready', 'ron'];['wand', 'ready', 'ron']
Ron;Riddikulus!;['riddikulus'];['riddikulus'];['riddikulus']
Lupin;Yes!;['yes'];['yes'];[]
Lupin;You see? Very good, very good!;['you', 'see', 'very', 'good', 'very', 'good'];['you', 'see', 'very', 'good', 'very', 'good'];['good', 'good']
Lupin;Marvelous! Absolutely, very, very enjoyable! Parvati! Next!;['marvelous', 'absolutely', 'very', 'very', 'enjoyable', 'parvati', 'next'];['marvelous', 'absolutely', 'very', 'very', 'enjoyable', 'parvati', 'next'];['marvelous', 'absolutely', 'enjoyable', 'parvati', 'next']
Lupin;Show us what you see.;['show', 'us', 'what', 'you', 'see'];['show', 'u', 'what', 'you', 'see'];['show', 'u']
Lupin;Keep your nerve. Steady.;['keep', 'your', 'nerve', 'steady'];['keep', 'your', 'nerve', 'steady'];['keep', 'nerve', 'steady']
Parvati;Riddikulus!;['riddikulus'];['riddikulus'];['riddikulus']
Lupin;And next! Step up, step up!;['and', 'next', 'step', 'up', 'step', 'up'];['and', 'next', 'step', 'up', 'step', 'up'];['next', 'step', 'step']
Lupin;Wonderful, wonderful! Here!;['wonderful', 'wonderful', 'here'];['wonderful', 'wonderful', 'here'];['wonderful', 'wonderful']
Lupin;Riddikulus!;['riddikulus'];['riddikulus'];['riddikulus']
Lupin;Right. Sorry about that.;['right', 'sorry', 'about', 'that'];['right', 'sorry', 'about', 'that'];['right', 'sorry']
Lupin;That's enough for today.;['that', 'enough', 'for', 'today'];['that', 'enough', 'for', 'today'];['enough', 'today']
Lupin;Collect your books from the back.;['collect', 'your', 'books', 'from', 'the', 'back'];['collect', 'your', 'book', 'from', 'the', 'back'];['collect', 'book', 'back']
Lupin;That's the end of the lesson.;['that', 'the', 'end', 'of', 'the', 'lesson'];['that', 'the', 'end', 'of', 'the', 'lesson'];['end', 'lesson']
Lupin;Thank you! Sorry!;['thank', 'you', 'sorry'];['thank', 'you', 'sorry'];['thank', 'sorry']
Lupin;Sorry, you can have too much of a good thing.;['sorry', 'you', 'can', 'have', 'too', 'much', 'of', 'a', 'good', 'thing'];['sorry', 'you', 'can', 'have', 'too', 'much', 'of', 'a', 'good', 'thing'];['sorry', 'much', 'good', 'thing']
Mcgonagall;Remember, these visits to Hogsmeade village are a privilege.;['remember', 'these', 'visits', 'to', 'hogsmeade', 'village', 'are', 'a', 'privilege'];['remember', 'these', 'visit', 'to', 'hogsmeade', 'village', 'are', 'a', 'privilege'];['remember', 'visit', 'hogsmeade', 'village', 'privilege']
Mcgonagall;Should your behavior reflect poorly on the school that privilege shall not be extended again.;['should', 'your', 'behavior', 'reflect', 'poorly', 'on', 'the', 'school', 'that', 'privilege', 'shall', 'not', 'be', 'extended', 'again'];['should', 'your', 'behavior', 'reflect', 'poorly', 'on', 'the', 'school', 'that', 'privilege', 'shall', 'not', 'be', 'extended', 'again'];['behavior', 'reflect', 'poorly', 'school', 'privilege', 'shall', 'extended']
Mcgonagall;No permission form signed, no visiting the village.;['no', 'permission', 'form', 'signed', 'no', 'visiting', 'the', 'village'];['no', 'permission', 'form', 'signed', 'no', 'visiting', 'the', 'village'];['permission', 'form', 'signed', 'visiting', 'village']
Mcgonagall;That's the rule, Potter.;['that', 'the', 'rule', 'potter'];['that', 'the', 'rule', 'potter'];['rule', 'potter']
Filch;Those with permission, follow me.;['those', 'with', 'permission', 'follow', 'me'];['those', 'with', 'permission', 'follow', 'me'];['permission', 'follow']
Filch;Those without, stay put.;['those', 'without', 'stay', 'put'];['those', 'without', 'stay', 'put'];['without', 'stay', 'put']
Harry;I thought if you signed it, then I could...;['i', 'thought', 'if', 'you', 'signed', 'it', 'then', 'i', 'could'];['i', 'thought', 'if', 'you', 'signed', 'it', 'then', 'i', 'could'];['thought', 'signed', 'could']
Mcgonagall;I can't. Only a parent or a guardian can sign.;['i', 'ca', 'only', 'a', 'parent', 'or', 'a', 'guardian', 'can', 'sign'];['i', 'ca', 'only', 'a', 'parent', 'or', 'a', 'guardian', 'can', 'sign'];['ca', 'parent', 'guardian', 'sign']
Mcgonagall;Since I am neither, it would be inappropriate.;['since', 'i', 'am', 'neither', 'it', 'would', 'be', 'inappropriate'];['since', 'i', 'am', 'neither', 'it', 'would', 'be', 'inappropriate'];['since', 'neither', 'would', 'inappropriate']
Mcgonagall;I'm sorry, Potter.;['i', 'sorry', 'potter'];['i', 'sorry', 'potter'];['sorry', 'potter']
Mcgonagall;That's my final word.;['that', 'my', 'final', 'word'];['that', 'my', 'final', 'word'];['final', 'word']
Harry;Forget about it, guys. See you later.;['forget', 'about', 'it', 'guys', 'see', 'you', 'later'];['forget', 'about', 'it', 'guy', 'see', 'you', 'later'];['forget', 'guy', 'later']
Harry;Professor, can I ask you something?;['professor', 'can', 'i', 'ask', 'you', 'something'];['professor', 'can', 'i', 'ask', 'you', 'something'];['professor', 'ask', 'something']
Lupin;You want to know why I stopped you facing that boggart, yes?;['you', 'want', 'to', 'know', 'why', 'i', 'stopped', 'you', 'facing', 'that', 'boggart', 'yes'];['you', 'want', 'to', 'know', 'why', 'i', 'stopped', 'you', 'facing', 'that', 'boggart', 'yes'];['want', 'stopped', 'facing', 'boggart']
Lupin;I thought it'd be obvious.;['i', 'thought', 'it', 'be', 'obvious'];['i', 'thought', 'it', 'be', 'obvious'];['thought', 'obvious']
Lupin;I assumed it would take the shape of Lord Voldemort.;['i', 'assumed', 'it', 'would', 'take', 'the', 'shape', 'of', 'lord', 'voldemort'];['i', 'assumed', 'it', 'would', 'take', 'the', 'shape', 'of', 'lord', 'voldemort'];['assumed', 'would', 'take', 'shape', 'lord', 'voldemort']
Harry;I did think of Voldemort at first.;['i', 'did', 'think', 'of', 'voldemort', 'at', 'first'];['i', 'did', 'think', 'of', 'voldemort', 'at', 'first'];['think', 'voldemort', 'first']
Harry;But then I remembered that night on the train and the dementor.;['but', 'then', 'i', 'remembered', 'that', 'night', 'on', 'the', 'train', 'and', 'the', 'dementor'];['but', 'then', 'i', 'remembered', 'that', 'night', 'on', 'the', 'train', 'and', 'the', 'dementor'];['remembered', 'night', 'train', 'dementor']
Lupin;I'm very impressed.;['i', 'very', 'impressed'];['i', 'very', 'impressed'];['impressed']
Lupin;That suggests what you fear the most is fear itself.;['that', 'suggests', 'what', 'you', 'fear', 'the', 'most', 'is', 'fear', 'itself'];['that', 'suggests', 'what', 'you', 'fear', 'the', 'most', 'is', 'fear', 'itself'];['suggests', 'fear', 'fear']
Lupin;This is very wise.;['this', 'is', 'very', 'wise'];['this', 'is', 'very', 'wise'];['wise']
Harry;Before I fainted I heard something.;['before', 'i', 'fainted', 'i', 'heard', 'something'];['before', 'i', 'fainted', 'i', 'heard', 'something'];['fainted', 'heard', 'something']
Harry;A woman screaming.;['a', 'woman', 'screaming'];['a', 'woman', 'screaming'];['woman', 'screaming']
Lupin;Dementors force us to relive our very worst memories.;['dementors', 'force', 'us', 'to', 'relive', 'our', 'very', 'worst', 'memories'];['dementors', 'force', 'u', 'to', 'relive', 'our', 'very', 'worst', 'memory'];['dementors', 'force', 'u', 'relive', 'worst', 'memory']
Lupin;Our pain becomes their power.;['our', 'pain', 'becomes', 'their', 'power'];['our', 'pain', 'becomes', 'their', 'power'];['pain', 'becomes', 'power']
Harry;I think it was my mother the night she was murdered.;['i', 'think', 'it', 'was', 'my', 'mother', 'the', 'night', 'she', 'was', 'murdered'];['i', 'think', 'it', 'wa', 'my', 'mother', 'the', 'night', 'she', 'wa', 'murdered'];['think', 'mother', 'night', 'murdered']
Lupin;The very first time I saw you, Harry, I recognized you immediately.;['the', 'very', 'first', 'time', 'i', 'saw', 'you', 'harry', 'i', 'recognized', 'you', 'immediately'];['the', 'very', 'first', 'time', 'i', 'saw', 'you', 'harry', 'i', 'recognized', 'you', 'immediately'];['first', 'time', 'saw', 'harry', 'recognized', 'immediately']
Lupin;Not by your scar, by your eyes.;['not', 'by', 'your', 'scar', 'by', 'your', 'eyes'];['not', 'by', 'your', 'scar', 'by', 'your', 'eye'];['scar', 'eye']
Lupin;They're your mother, Lily's.;['they', 'your', 'mother', 'lily'];['they', 'your', 'mother', 'lily'];['mother', 'lily']
Lupin;Yes. Oh, yes. I knew her.;['yes', 'oh', 'yes', 'i', 'knew', 'her'];['yes', 'oh', 'yes', 'i', 'knew', 'her'];['oh', 'knew']
Lupin;Your mother was there for me at a time when no one else was.;['your', 'mother', 'was', 'there', 'for', 'me', 'at', 'a', 'time', 'when', 'no', 'one', 'else', 'was'];['your', 'mother', 'wa', 'there', 'for', 'me', 'at', 'a', 'time', 'when', 'no', 'one', 'else', 'wa'];['mother', 'time', 'one', 'else']
