Character;Sentence;Sentence_tokenized;Sentence_lemmatized;Sentence_cleared
Hagrid;Nobody, not one.;['nobody', 'not', 'one'];['nobody', 'not', 'one'];['nobody', 'one']
Hagrid;Except you.;['except', 'you'];['except', 'you'];['except']
Harry;Me? Voldemort tried to kill me?;['me', 'voldemort', 'tried', 'to', 'kill', 'me'];['me', 'voldemort', 'tried', 'to', 'kill', 'me'];['voldemort', 'tried', 'kill']
Hagrid;Yes. That ain't no ordinary cut on your forehead, Harry.;['yes', 'that', 'ai', 'no', 'ordinary', 'cut', 'on', 'your', 'forehead', 'harry'];['yes', 'that', 'ai', 'no', 'ordinary', 'cut', 'on', 'your', 'forehead', 'harry'];['ai', 'ordinary', 'cut', 'forehead', 'harry']
Hagrid;A mark like that only comes from being touched by a curse, and an evil curse at that.;['a', 'mark', 'like', 'that', 'only', 'comes', 'from', 'being', 'touched', 'by', 'a', 'curse', 'and', 'an', 'evil', 'curse', 'at', 'that'];['a', 'mark', 'like', 'that', 'only', 'come', 'from', 'being', 'touched', 'by', 'a', 'curse', 'and', 'an', 'evil', 'curse', 'at', 'that'];['mark', 'like', 'touched', 'curse', 'evil', 'curse']
Harry;What happened to V...?;['what', 'happened', 'to', 'v'];['what', 'happened', 'to', 'v'];['happened', 'v']
Harry;To You-Know-Who?;['to'];['to'];[]
Hagrid;Well, some say he died.;['well', 'some', 'say', 'he', 'died'];['well', 'some', 'say', 'he', 'died'];['well', 'say', 'died']
Hagrid;Codswallop, in my opinion.;['codswallop', 'in', 'my', 'opinion'];['codswallop', 'in', 'my', 'opinion'];['codswallop', 'opinion']
Hagrid;Nope, I reckon he's out there still too tired to carry on.;['nope', 'i', 'reckon', 'he', 'out', 'there', 'still', 'too', 'tired', 'to', 'carry', 'on'];['nope', 'i', 'reckon', 'he', 'out', 'there', 'still', 'too', 'tired', 'to', 'carry', 'on'];['nope', 'reckon', 'still', 'tired', 'carry']
Hagrid;But one thing's absolutely certain. ;['but', 'one', 'thing', 'absolutely', 'certain'];['but', 'one', 'thing', 'absolutely', 'certain'];['one', 'thing', 'absolutely', 'certain']
Hagrid;Something about you stumped him that night.;['something', 'about', 'you', 'stumped', 'him', 'that', 'night'];['something', 'about', 'you', 'stumped', 'him', 'that', 'night'];['something', 'stumped', 'night']
Hagrid;That's why you're famous.;['that', 'why', 'you', 'famous'];['that', 'why', 'you', 'famous'];['famous']
Hagrid;That's why everybody knows your name.;['that', 'why', 'everybody', 'knows', 'your', 'name'];['that', 'why', 'everybody', 'know', 'your', 'name'];['everybody', 'name']
Hagrid;You're the boy who lived.;['you', 'the', 'boy', 'who', 'lived'];['you', 'the', 'boy', 'who', 'lived'];['boy', 'lived']
Hagrid;What are you looking at?;['what', 'are', 'you', 'looking', 'at'];['what', 'are', 'you', 'looking', 'at'];['looking']
Hagrid;Blimey, is that the time?;['blimey', 'is', 'that', 'the', 'time'];['blimey', 'is', 'that', 'the', 'time'];['blimey', 'time']
Hagrid;Sorry, Harry, I'm gonna have to leave you.;['sorry', 'harry', 'i', 'gon', 'na', 'have', 'to', 'leave', 'you'];['sorry', 'harry', 'i', 'gon', 'na', 'have', 'to', 'leave', 'you'];['sorry', 'harry', 'gon', 'na', 'leave']
Hagrid;Dumbledore will be wanting his...;['dumbledore', 'will', 'be', 'wanting', 'his'];['dumbledore', 'will', 'be', 'wanting', 'his'];['dumbledore', 'wanting']
Hagrid;Well, he'll be wanting to see me.;['well', 'he', 'be', 'wanting', 'to', 'see', 'me'];['well', 'he', 'be', 'wanting', 'to', 'see', 'me'];['well', 'wanting']
Hagrid;Now, uh, your train leaves in 10 minutes.;['now', 'uh', 'your', 'train', 'leaves', 'in', 'minutes'];['now', 'uh', 'your', 'train', 'leaf', 'in', 'minute'];['uh', 'train', 'leaf', 'minute']
Hagrid;Here's your ticket. ;['here', 'your', 'ticket'];['here', 'your', 'ticket'];['ticket']
Hagrid;Stick to it, Harry that's very important. ;['stick', 'to', 'it', 'harry', 'that', 'very', 'important'];['stick', 'to', 'it', 'harry', 'that', 'very', 'important'];['stick', 'harry', 'important']
Hagrid;Stick to your ticket.;['stick', 'to', 'your', 'ticket'];['stick', 'to', 'your', 'ticket'];['stick', 'ticket']
Harry;Platform 9 3/4?;['platform'];['platform'];['platform']
Harry;But, Hagrid, there must be a mistake.;['but', 'hagrid', 'there', 'must', 'be', 'a', 'mistake'];['but', 'hagrid', 'there', 'must', 'be', 'a', 'mistake'];['hagrid', 'must', 'mistake']
Harry;This says platform 9 3/4.;['this', 'says', 'platform'];['this', 'say', 'platform'];['say', 'platform']
Harry;There's no such thing, is there?;['there', 'no', 'such', 'thing', 'is', 'there'];['there', 'no', 'such', 'thing', 'is', 'there'];['thing']
Man;Sorry.;['sorry'];['sorry'];['sorry']
Harry;Excuse me. Excuse me.;['excuse', 'me', 'excuse', 'me'];['excuse', 'me', 'excuse', 'me'];['excuse', 'excuse']
Trainmaster;Right on your left Madam.;['right', 'on', 'your', 'left', 'madam'];['right', 'on', 'your', 'left', 'madam'];['right', 'left', 'madam']
Harry;Excuse me Sir, Can you tell me where I might find platform 9 3/4?;['excuse', 'me', 'sir', 'can', 'you', 'tell', 'me', 'where', 'i', 'might', 'find', 'platform'];['excuse', 'me', 'sir', 'can', 'you', 'tell', 'me', 'where', 'i', 'might', 'find', 'platform'];['excuse', 'sir', 'tell', 'might', 'find', 'platform']
Trainmaster;9 3/4? Think you're being funny, do ya?;['think', 'you', 'being', 'funny', 'do', 'ya'];['think', 'you', 'being', 'funny', 'do', 'ya'];['think', 'funny', 'ya']
Mrs. Weasley;It's the same every year, packed with Muggles, Of course. ;['it', 'the', 'same', 'every', 'year', 'packed', 'with', 'muggles', 'of', 'course'];['it', 'the', 'same', 'every', 'year', 'packed', 'with', 'muggles', 'of', 'course'];['every', 'year', 'packed', 'muggles', 'course']
Mrs. Weasley;Come on!;['come', 'on'];['come', 'on'];[]
Harry;Muggles?;['muggles'];['muggles'];['muggles']
Mrs. Weasley;Platform 9 3/4, this way.;['platform', 'this', 'way'];['platform', 'this', 'way'];['platform', 'way']
Mrs. Weasley;All right, Percy, you first.;['all', 'right', 'percy', 'you', 'first'];['all', 'right', 'percy', 'you', 'first'];['right', 'percy', 'first']
Mrs. Weasley;Fred, you next.;['fred', 'you', 'next'];['fred', 'you', 'next'];['fred', 'next']
George;He's not Fred, I am.;['he', 'not', 'fred', 'i', 'am'];['he', 'not', 'fred', 'i', 'am'];['fred']
Fred;Honestly, woman, you call yourself our mother?;['honestly', 'woman', 'you', 'call', 'yourself', 'our', 'mother'];['honestly', 'woman', 'you', 'call', 'yourself', 'our', 'mother'];['honestly', 'woman', 'call', 'mother']
Mrs. Weasley;Oh, I'm sorry, George.;['oh', 'i', 'sorry', 'george'];['oh', 'i', 'sorry', 'george'];['oh', 'sorry', 'george']
Fred;I'm only joking. I am Fred.;['i', 'only', 'joking', 'i', 'am', 'fred'];['i', 'only', 'joking', 'i', 'am', 'fred'];['joking', 'fred']
Harry;Excuse me.;['excuse', 'me'];['excuse', 'me'];['excuse']
Harry;Could you tell me how to...?;['could', 'you', 'tell', 'me', 'how', 'to'];['could', 'you', 'tell', 'me', 'how', 'to'];['could', 'tell']
Mrs. Weasley;How to get onto the platform?;['how', 'to', 'get', 'onto', 'the', 'platform'];['how', 'to', 'get', 'onto', 'the', 'platform'];['onto', 'platform']
Mrs. Weasley;Not to worry, dear.;['not', 'to', 'worry', 'dear'];['not', 'to', 'worry', 'dear'];['worry', 'dear']
Mrs. Weasley;It's Ron's first time to Hogwarts as well.;['it', 'ron', 'first', 'time', 'to', 'hogwarts', 'as', 'well'];['it', 'ron', 'first', 'time', 'to', 'hogwarts', 'a', 'well'];['ron', 'first', 'time', 'hogwarts', 'well']
Mrs. Weasley;All you've got do is walk straight at the wall between platforms 9 and 10.;['all', 'you', 'got', 'do', 'is', 'walk', 'straight', 'at', 'the', 'wall', 'between', 'platforms', 'and'];['all', 'you', 'got', 'do', 'is', 'walk', 'straight', 'at', 'the', 'wall', 'between', 'platform', 'and'];['walk', 'straight', 'wall', 'platform']
Mrs. Weasley;Best do it at a bit of a run if you're nervous.;['best', 'do', 'it', 'at', 'a', 'bit', 'of', 'a', 'run', 'if', 'you', 'nervous'];['best', 'do', 'it', 'at', 'a', 'bit', 'of', 'a', 'run', 'if', 'you', 'nervous'];['best', 'bit', 'run', 'nervous']
Ginny;Good luck.;['good', 'luck'];['good', 'luck'];['good', 'luck']
Ron;Excuse me. Do you mind?;['excuse', 'me', 'do', 'you', 'mind'];['excuse', 'me', 'do', 'you', 'mind'];['excuse', 'mind']
Ron;Everywhere else is full.;['everywhere', 'else', 'is', 'full'];['everywhere', 'else', 'is', 'full'];['everywhere', 'else', 'full']
Harry;No. Not at all.;['no', 'not', 'at', 'all'];['no', 'not', 'at', 'all'];[]
Ron;I'm Ron, by the way.;['i', 'ron', 'by', 'the', 'way'];['i', 'ron', 'by', 'the', 'way'];['ron', 'way']
Ron;Ron Weasley.;['ron', 'weasley'];['ron', 'weasley'];['ron', 'weasley']
Harry;I'm Harry. Harry Potter.;['i', 'harry', 'harry', 'potter'];['i', 'harry', 'harry', 'potter'];['harry', 'harry', 'potter']
Ron;So it's true!;['so', 'it', 'true'];['so', 'it', 'true'];['true']
Ron;I mean, do you really have the...?;['i', 'mean', 'do', 'you', 'really', 'have', 'the'];['i', 'mean', 'do', 'you', 'really', 'have', 'the'];['mean', 'really']
Harry;The what?;['the', 'what'];['the', 'what'];[]
Ron;The scar?;['the', 'scar'];['the', 'scar'];['scar']
Ron;Wicked!;['wicked'];['wicked'];['wicked']
Woman;Anything off the trolley, dears?;['anything', 'off', 'the', 'trolley', 'dears'];['anything', 'off', 'the', 'trolley', 'dear'];['anything', 'trolley', 'dear']
Ron;No, thanks. I'm all set.;['no', 'thanks', 'i', 'all', 'set'];['no', 'thanks', 'i', 'all', 'set'];['thanks', 'set']
Harry;We'll take the lot.;['we', 'take', 'the', 'lot'];['we', 'take', 'the', 'lot'];['take', 'lot']
Harry;Bertie Bott's Every Flavor Beans?;['bertie', 'bott', 'every', 'flavor', 'beans'];['bertie', 'bott', 'every', 'flavor', 'bean'];['bertie', 'bott', 'every', 'flavor', 'bean']
Ron;They mean every flavor.;['they', 'mean', 'every', 'flavor'];['they', 'mean', 'every', 'flavor'];['mean', 'every', 'flavor']
Ron;There's chocolate and peppermint and there's also spinach, liver and tripe.;['there', 'chocolate', 'and', 'peppermint', 'and', 'there', 'also', 'spinach', 'liver', 'and', 'tripe'];['there', 'chocolate', 'and', 'peppermint', 'and', 'there', 'also', 'spinach', 'liver', 'and', 'tripe'];['chocolate', 'peppermint', 'also', 'spinach', 'liver', 'tripe']
Ron;George sweared he got a bogey-flavoured one once!;['george', 'sweared', 'he', 'got', 'a', 'one', 'once'];['george', 'sweared', 'he', 'got', 'a', 'one', 'once'];['george', 'sweared', 'one']
Harry;These aren't real frogs, are they?;['these', 'are', 'real', 'frogs', 'are', 'they'];['these', 'are', 'real', 'frog', 'are', 'they'];['real', 'frog']
Ron;It's just a spell.;['it', 'just', 'a', 'spell'];['it', 'just', 'a', 'spell'];['spell']
Ron;Besides, It's the cards you want.;['besides', 'it', 'the', 'cards', 'you', 'want'];['besides', 'it', 'the', 'card', 'you', 'want'];['besides', 'card', 'want']
Ron;Each pack's got a famous witch or wizard.;['each', 'pack', 'got', 'a', 'famous', 'witch', 'or', 'wizard'];['each', 'pack', 'got', 'a', 'famous', 'witch', 'or', 'wizard'];['pack', 'famous', 'witch', 'wizard']
Ron;I've got about 500 myself.;['i', 'got', 'about', 'myself'];['i', 'got', 'about', 'myself'];[]
Ron;Watch it!;['watch', 'it'];['watch', 'it'];['watch']
Ron;Oh, that's rotten luck.;['oh', 'that', 'rotten', 'luck'];['oh', 'that', 'rotten', 'luck'];['oh', 'rotten', 'luck']
Ron;They've only got one good jump in them to begin with.;['they', 'only', 'got', 'one', 'good', 'jump', 'in', 'them', 'to', 'begin', 'with'];['they', 'only', 'got', 'one', 'good', 'jump', 'in', 'them', 'to', 'begin', 'with'];['one', 'good', 'jump', 'begin']
Harry;I've got Dumbledore!;['i', 'got', 'dumbledore'];['i', 'got', 'dumbledore'];['dumbledore']
Ron;I got about six of him.;['i', 'got', 'about', 'six', 'of', 'him'];['i', 'got', 'about', 'six', 'of', 'him'];['six']
Harry;Hey, he's gone!;['hey', 'he', 'gone'];['hey', 'he', 'gone'];['hey', 'gone']
Ron;Well, you can't expect him to hang around all day, can you?;['well', 'you', 'ca', 'expect', 'him', 'to', 'hang', 'around', 'all', 'day', 'can', 'you'];['well', 'you', 'ca', 'expect', 'him', 'to', 'hang', 'around', 'all', 'day', 'can', 'you'];['well', 'ca', 'expect', 'hang', 'around', 'day']
Ron;This is Scabbers, by the way.;['this', 'is', 'scabbers', 'by', 'the', 'way'];['this', 'is', 'scabbers', 'by', 'the', 'way'];['scabbers', 'way']
Ron;Pathetic, isn't he?;['pathetic', 'is', 'he'];['pathetic', 'is', 'he'];['pathetic']
Harry;Just a little bit.;['just', 'a', 'little', 'bit'];['just', 'a', 'little', 'bit'];['little', 'bit']
Ron;Fred gave me a spell as to turn him yellow.;['fred', 'gave', 'me', 'a', 'spell', 'as', 'to', 'turn', 'him', 'yellow'];['fred', 'gave', 'me', 'a', 'spell', 'a', 'to', 'turn', 'him', 'yellow'];['fred', 'gave', 'spell', 'turn', 'yellow']
Ron;Want to see?;['want', 'to', 'see'];['want', 'to', 'see'];['want']
Harry;Yeah.;['yeah'];['yeah'];['yeah']
Hermione;Has anyone seen a toad?;['has', 'anyone', 'seen', 'a', 'toad'];['ha', 'anyone', 'seen', 'a', 'toad'];['anyone', 'seen', 'toad']
Hermione;A boy named Neville's lost one;['a', 'boy', 'named', 'neville', 'lost', 'one'];['a', 'boy', 'named', 'neville', 'lost', 'one'];['boy', 'named', 'neville', 'lost', 'one']
Ron;No.;['no'];['no'];[]
Hermione;Oh, are you doing magic?;['oh', 'are', 'you', 'doing', 'magic'];['oh', 'are', 'you', 'doing', 'magic'];['oh', 'magic']
Hermione;Let's see, then.;['let', 'see', 'then'];['let', 'see', 'then'];['let']
Ron;Sunshine, daisies, butter mellow.;['sunshine', 'daisies', 'butter', 'mellow'];['sunshine', 'daisy', 'butter', 'mellow'];['sunshine', 'daisy', 'butter', 'mellow']
Ron;Turn this stupid fat rat yellow.;['turn', 'this', 'stupid', 'fat', 'rat', 'yellow'];['turn', 'this', 'stupid', 'fat', 'rat', 'yellow'];['turn', 'stupid', 'fat', 'rat', 'yellow']
Hermione;Are you sure that's a real spell?;['are', 'you', 'sure', 'that', 'a', 'real', 'spell'];['are', 'you', 'sure', 'that', 'a', 'real', 'spell'];['sure', 'real', 'spell']
Hermione;Well, it's not very good, is it?;['well', 'it', 'not', 'very', 'good', 'is', 'it'];['well', 'it', 'not', 'very', 'good', 'is', 'it'];['well', 'good']
Hermione;Of course, I've only tried a few simple ones myself but they've all worked for me.;['of', 'course', 'i', 'only', 'tried', 'a', 'few', 'simple', 'ones', 'myself', 'but', 'they', 'all', 'worked', 'for', 'me'];['of', 'course', 'i', 'only', 'tried', 'a', 'few', 'simple', 'one', 'myself', 'but', 'they', 'all', 'worked', 'for', 'me'];['course', 'tried', 'simple', 'one', 'worked']
Hermione;For example:;['for', 'example'];['for', 'example'];['example']
Hermione;Oculus Reparo.;['oculus', 'reparo'];['oculus', 'reparo'];['oculus', 'reparo']
Hermione;That's better, isn't it?;['that', 'better', 'is', 'it'];['that', 'better', 'is', 'it'];['better']
Hermione;Holy cricket, you're Harry Potter!;['holy', 'cricket', 'you', 'harry', 'potter'];['holy', 'cricket', 'you', 'harry', 'potter'];['holy', 'cricket', 'harry', 'potter']
Hermione;I'm Hermione Granger.;['i', 'hermione', 'granger'];['i', 'hermione', 'granger'];['hermione', 'granger']
Hermione;And you are...?;['and', 'you', 'are'];['and', 'you', 'are'];[]
Ron;I'm Ron Weasley.;['i', 'ron', 'weasley'];['i', 'ron', 'weasley'];['ron', 'weasley']
Hermione;Pleasure.;['pleasure'];['pleasure'];['pleasure']
Hermione;You two better change into robes.;['you', 'two', 'better', 'change', 'into', 'robes'];['you', 'two', 'better', 'change', 'into', 'robe'];['two', 'better', 'change', 'robe']
Hermione;I expect we'll be arriving soon.;['i', 'expect', 'we', 'be', 'arriving', 'soon'];['i', 'expect', 'we', 'be', 'arriving', 'soon'];['expect', 'arriving', 'soon']
Hermione;You've got dirt on your nose, by the way.;['you', 'got', 'dirt', 'on', 'your', 'nose', 'by', 'the', 'way'];['you', 'got', 'dirt', 'on', 'your', 'nose', 'by', 'the', 'way'];['dirt', 'nose', 'way']
Hermione;Did you know?;['did', 'you', 'know'];['did', 'you', 'know'];[]
Hermione;Just there.;['just', 'there'];['just', 'there'];[]
Hagrid;Right, then.;['right', 'then'];['right', 'then'];['right']
Hagrid;First years, this way, please!;['first', 'years', 'this', 'way', 'please'];['first', 'year', 'this', 'way', 'please'];['first', 'year', 'way', 'please']
Hagrid;Come on, now, first years, don't be shy.;['come', 'on', 'now', 'first', 'years', 'do', 'be', 'shy'];['come', 'on', 'now', 'first', 'year', 'do', 'be', 'shy'];['first', 'year', 'shy']
Hagrid;Come on now, hurry up.;['come', 'on', 'now', 'hurry', 'up'];['come', 'on', 'now', 'hurry', 'up'];['hurry']
Hagrid;Hello, Harry.;['hello', 'harry'];['hello', 'harry'];['hello', 'harry']
Harry;Hey, Hagrid.;['hey', 'hagrid'];['hey', 'hagrid'];['hey', 'hagrid']
Hagrid;Right, then. This way to the boats.;['right', 'then', 'this', 'way', 'to', 'the', 'boats'];['right', 'then', 'this', 'way', 'to', 'the', 'boat'];['right', 'way', 'boat']
Hagrid;Come on, now, follow me.;['come', 'on', 'now', 'follow', 'me'];['come', 'on', 'now', 'follow', 'me'];['follow']
Ron;Wicked.;['wicked'];['wicked'];['wicked']
Mcgonagall;Welcome to Hogwarts.;['welcome', 'to', 'hogwarts'];['welcome', 'to', 'hogwarts'];['welcome', 'hogwarts']
Mcgonagall;Now, in a few moments, you'll pass through these doors and join your classmates.;['now', 'in', 'a', 'few', 'moments', 'you', 'pass', 'through', 'these', 'doors', 'and', 'join', 'your', 'classmates'];['now', 'in', 'a', 'few', 'moment', 'you', 'pas', 'through', 'these', 'door', 'and', 'join', 'your', 'classmate'];['moment', 'pas', 'door', 'join', 'classmate']
Mcgonagall;But before you can take your seats, you must be sorted into your houses.;['but', 'before', 'you', 'can', 'take', 'your', 'seats', 'you', 'must', 'be', 'sorted', 'into', 'your', 'houses'];['but', 'before', 'you', 'can', 'take', 'your', 'seat', 'you', 'must', 'be', 'sorted', 'into', 'your', 'house'];['take', 'seat', 'must', 'sorted', 'house']
Mcgonagall;They are Gryffindor, Hufflepuff Ravenclaw and Slytherin.;['they', 'are', 'gryffindor', 'hufflepuff', 'ravenclaw', 'and', 'slytherin'];['they', 'are', 'gryffindor', 'hufflepuff', 'ravenclaw', 'and', 'slytherin'];['gryffindor', 'hufflepuff', 'ravenclaw', 'slytherin']
Mcgonagall;Now, while you're here, your house will be like your family.;['now', 'while', 'you', 'here', 'your', 'house', 'will', 'be', 'like', 'your', 'family'];['now', 'while', 'you', 'here', 'your', 'house', 'will', 'be', 'like', 'your', 'family'];['house', 'like', 'family']
Mcgonagall;Your triumphs will earn you points.;['your', 'triumphs', 'will', 'earn', 'you', 'points'];['your', 'triumph', 'will', 'earn', 'you', 'point'];['triumph', 'earn', 'point']
Mcgonagall;Any rule-breaking, and you will lose points.;['any', 'and', 'you', 'will', 'lose', 'points'];['any', 'and', 'you', 'will', 'lose', 'point'];['lose', 'point']
Mcgonagall;At the end of the year, the house with the most points is awarded the house cup;['at', 'the', 'end', 'of', 'the', 'year', 'the', 'house', 'with', 'the', 'most', 'points', 'is', 'awarded', 'the', 'house', 'cup'];['at', 'the', 'end', 'of', 'the', 'year', 'the', 'house', 'with', 'the', 'most', 'point', 'is', 'awarded', 'the', 'house', 'cup'];['end', 'year', 'house', 'point', 'awarded', 'house', 'cup']
Neville;Trevor! Sorry.;['trevor', 'sorry'];['trevor', 'sorry'];['trevor', 'sorry']
Mcgonagall;The Sorting Ceremony will begin momentarily.;['the', 'sorting', 'ceremony', 'will', 'begin', 'momentarily'];['the', 'sorting', 'ceremony', 'will', 'begin', 'momentarily'];['sorting', 'ceremony', 'begin', 'momentarily']
Malfoy;It's true then, what they're saying on the train.;['it', 'true', 'then', 'what', 'they', 'saying', 'on', 'the', 'train'];['it', 'true', 'then', 'what', 'they', 'saying', 'on', 'the', 'train'];['true', 'saying', 'train']
Malfoy;Harry Potter has come to Hogwarts.;['harry', 'potter', 'has', 'come', 'to', 'hogwarts'];['harry', 'potter', 'ha', 'come', 'to', 'hogwarts'];['harry', 'potter', 'hogwarts']
Whispers;Harry Potter?;['harry', 'potter'];['harry', 'potter'];['harry', 'potter']
Malfoy;This is Crabbe, and Goyle.;['this', 'is', 'crabbe', 'and', 'goyle'];['this', 'is', 'crabbe', 'and', 'goyle'];['crabbe', 'goyle']
Malfoy;And I'm Malfoy.;['and', 'i', 'malfoy'];['and', 'i', 'malfoy'];['malfoy']
Malfoy;Draco Malfoy.;['draco', 'malfoy'];['draco', 'malfoy'];['draco', 'malfoy']
Malfoy;Think my name's funny, do you?;['think', 'my', 'name', 'funny', 'do', 'you'];['think', 'my', 'name', 'funny', 'do', 'you'];['think', 'name', 'funny']
Malfoy;I've no need to ask yours.;['i', 'no', 'need', 'to', 'ask', 'yours'];['i', 'no', 'need', 'to', 'ask', 'yours'];['need', 'ask']
Malfoy;Red hair and a hand-me-down robe?;['red', 'hair', 'and', 'a', 'robe'];['red', 'hair', 'and', 'a', 'robe'];['red', 'hair', 'robe']
Malfoy;You must be a Weasley.;['you', 'must', 'be', 'a', 'weasley'];['you', 'must', 'be', 'a', 'weasley'];['must', 'weasley']
Malfoy;We'll soon find out that some wizarding families are better than others, Potter.;['we', 'soon', 'find', 'out', 'that', 'some', 'wizarding', 'families', 'are', 'better', 'than', 'others', 'potter'];['we', 'soon', 'find', 'out', 'that', 'some', 'wizarding', 'family', 'are', 'better', 'than', 'others', 'potter'];['soon', 'find', 'wizarding', 'family', 'better', 'others', 'potter']
Malfoy;You don't want to go making friends with the wrong sort.;['you', 'do', 'want', 'to', 'go', 'making', 'friends', 'with', 'the', 'wrong', 'sort'];['you', 'do', 'want', 'to', 'go', 'making', 'friend', 'with', 'the', 'wrong', 'sort'];['want', 'making', 'friend', 'wrong', 'sort']
Malfoy;I can help you there.;['i', 'can', 'help', 'you', 'there'];['i', 'can', 'help', 'you', 'there'];['help']
Harry;I think I can tell the wrong sort for myself, thanks.;['i', 'think', 'i', 'can', 'tell', 'the', 'wrong', 'sort', 'for', 'myself', 'thanks'];['i', 'think', 'i', 'can', 'tell', 'the', 'wrong', 'sort', 'for', 'myself', 'thanks'];['think', 'tell', 'wrong', 'sort', 'thanks']
Mcgonagall;We're ready for you now.;['we', 'ready', 'for', 'you', 'now'];['we', 'ready', 'for', 'you', 'now'];['ready']
Mcgonagall;Follow me.;['follow', 'me'];['follow', 'me'];['follow']
Hermione;It's not real, the ceiling. ;['it', 'not', 'real', 'the', 'ceiling'];['it', 'not', 'real', 'the', 'ceiling'];['real', 'ceiling']
Hermione;It's just bewitched to look like the night sky.;['it', 'just', 'bewitched', 'to', 'look', 'like', 'the', 'night', 'sky'];['it', 'just', 'bewitched', 'to', 'look', 'like', 'the', 'night', 'sky'];['bewitched', 'look', 'like', 'night', 'sky']
Hermione;I read about it in Hogwarts: A History.;['i', 'read', 'about', 'it', 'in', 'hogwarts', 'a', 'history'];['i', 'read', 'about', 'it', 'in', 'hogwarts', 'a', 'history'];['read', 'hogwarts', 'history']
Mcgonagall;All right, will you wait along here, please?;['all', 'right', 'will', 'you', 'wait', 'along', 'here', 'please'];['all', 'right', 'will', 'you', 'wait', 'along', 'here', 'please'];['right', 'wait', 'along', 'please']
Mcgonagall;Now, before we begin Professor Dumbledore would like to say a few words.;['now', 'before', 'we', 'begin', 'professor', 'dumbledore', 'would', 'like', 'to', 'say', 'a', 'few', 'words'];['now', 'before', 'we', 'begin', 'professor', 'dumbledore', 'would', 'like', 'to', 'say', 'a', 'few', 'word'];['begin', 'professor', 'dumbledore', 'would', 'like', 'say', 'word']
Dumbledore;I have a few start-of-term notices I wish to announce.;['i', 'have', 'a', 'few', 'notices', 'i', 'wish', 'to', 'announce'];['i', 'have', 'a', 'few', 'notice', 'i', 'wish', 'to', 'announce'];['notice', 'wish', 'announce']
Dumbledore;The first years, please note that the Dark Forest is strictly forbidden to all students.;['the', 'first', 'years', 'please', 'note', 'that', 'the', 'dark', 'forest', 'is', 'strictly', 'forbidden', 'to', 'all', 'students'];['the', 'first', 'year', 'please', 'note', 'that', 'the', 'dark', 'forest', 'is', 'strictly', 'forbidden', 'to', 'all', 'student'];['first', 'year', 'please', 'note', 'dark', 'forest', 'strictly', 'forbidden', 'student']
Dumbledore;Also, our caretaker, Mr. Filch, has asked me to remind you that the third-floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death.;['also', 'our', 'caretaker', 'filch', 'has', 'asked', 'me', 'to', 'remind', 'you', 'that', 'the', 'corridor', 'on', 'the', 'right', 'hand', 'side', 'is', 'out', 'of', 'bounds', 'to', 'everyone', 'who', 'does', 'not', 'wish', 'to', 'die', 'a', 'most', 'painful', 'death'];['also', 'our', 'caretaker', 'filch', 'ha', 'asked', 'me', 'to', 'remind', 'you', 'that', 'the', 'corridor', 'on', 'the', 'right', 'hand', 'side', 'is', 'out', 'of', 'bound', 'to', 'everyone', 'who', 'doe', 'not', 'wish', 'to', 'die', 'a', 'most', 'painful', 'death'];['also', 'caretaker', 'filch', 'asked', 'remind', 'corridor', 'right', 'hand', 'side', 'bound', 'everyone', 'doe', 'wish', 'die', 'painful', 'death']
Dumbledore;Thank you.;['thank', 'you'];['thank', 'you'];['thank']
Mcgonagall;When I call your name, you will come forth.;['when', 'i', 'call', 'your', 'name', 'you', 'will', 'come', 'forth'];['when', 'i', 'call', 'your', 'name', 'you', 'will', 'come', 'forth'];['call', 'name', 'forth']
Mcgonagall;I shall place the Sorting Hat on your head and you will be sorted into your houses.;['i', 'shall', 'place', 'the', 'sorting', 'hat', 'on', 'your', 'head', 'and', 'you', 'will', 'be', 'sorted', 'into', 'your', 'houses'];['i', 'shall', 'place', 'the', 'sorting', 'hat', 'on', 'your', 'head', 'and', 'you', 'will', 'be', 'sorted', 'into', 'your', 'house'];['shall', 'place', 'sorting', 'hat', 'head', 'sorted', 'house']
Mcgonagall;Hermione Granger.;['hermione', 'granger'];['hermione', 'granger'];['hermione', 'granger']
Hermione;Oh, no. Okay, relax.;['oh', 'no', 'okay', 'relax'];['oh', 'no', 'okay', 'relax'];['oh', 'okay', 'relax']
Ron;Mental, that one, I'm telling you.;['mental', 'that', 'one', 'i', 'telling', 'you'];['mental', 'that', 'one', 'i', 'telling', 'you'];['mental', 'one', 'telling']
Sorting Hat;Ah, right then... hmm... right.;['ah', 'right', 'then', 'hmm', 'right'];['ah', 'right', 'then', 'hmm', 'right'];['ah', 'right', 'hmm', 'right']
Sorting Hat;Okay. Gryffindor!;['okay', 'gryffindor'];['okay', 'gryffindor'];['okay', 'gryffindor']
Mcgonagall;Draco Malfoy.;['draco', 'malfoy'];['draco', 'malfoy'];['draco', 'malfoy']
Sorting Hat;Slytherin!;['slytherin'];['slytherin'];['slytherin']
